product_name,description,manufacturer
Halo McFarlane Toys 10th Anniversary Action Figure 3 Pack Master Chief Evolution,"The evolution of Master Chief! The star of the Halo video game trilogy has evolved quite a bit over the past decade, and the Master Chief Evolution Action Figure 3-Pack covers his three best-known versions. Representing the first Halo game is Halo: Combat Evolved Master Chief. This figure includes Mark V armor, Assault Rifle, Frag Grenade, and a unique ""low polygon count"" design. Straight from the cover of the second game is Halo 2 Master Chief, with Mark VI armor, dual-wielded SMGs, and a Frag Grenade. Finishing the fight is Halo 3 Master Chief. He includes battle-damaged Mark VI armor, a Sniper Rifle, and a Frag Grenade. As an added bonus, both the Halo 2 and Halo 3 versions have been recreated at a larger size to fit perfectly with the Halo: Combat Evolved Master Chief and Halo: Reach figures (sold separately). Honor thy hero from the Halo franchise by ordering your 3-pack now!",McFarlane
Hot Toys 1:6 Scale Iron Man 3 Deluxe Bust Set 8 Busts,"Product Description Hot Toys' all new Sixth Scale Collectible Bust Series. To kick off this collection, they are introducing seven armors from the 2013 blockbuster hit, Iron Man 3. For a limited time fans can preorder a deluxe set that includes all seven: the Mark 42, Iron Patriot, War Machine Mark 2, Mark 17 - Heartbreaker, Mark 24 - Tank, Mark 30 - Blue Steel, and Mark 33 - Silver Centurion, along with a bonus eighth bust, the Mark 42 Battle Damaged Version! Each bust is presented in fine sculpture, featuring light-up functions and metallic-colored paint application. Box Contains 1 x Eight Iron Man 3 Sixth Scale Collectible Busts, including: Mark 42, Iron Patriot, War Machine Mark 2, Mark 17 Heartbreaker, Mark 24 Tank, Mark 30 Blue Steel, Mark 33 Silver Centurion, and the Mark 42 Battle Damaged Version",Hot Toys
Docolla: Character Vocal Series 01: Hatsune Miku Doll Figure,Docolla: Character Vocal Series 01: Hatsune Miku PVC Figure,Eye On Asia
Banpresto Madoka Magica SQ Articulated Figure Toy - 7" Homura Akemi,"2nd figure of ""story theater version Puella Magi Madoka ? of [New Edition] rebellion"" which was a big hit released in October 2013! 2nd of 2 consecutive months in the footsteps of the will ""Kaname Madoka"", continue to fight as a magical girl ""Akemi flame"". Specifications decorate with a combination of April release as ""Kaname Madoka""!",Banpresto
Watchmen Movie Dr. Manhattan Action Figure,"This action figure of Dr. Manhattan, straight from the Watchmen movie, features exquisite sculpting and detailing.",DC Comics
Marvel Super Hero Squad Hulk vs Nova [Toy],"Finally, someone got Marvel's heroes to smile! Fun for all ages, the Marvel Super Hero Squad brings colorful, bright, and we dare say cute super heroes to comic fans the world over. Each figure has limited articulation and authentic costumes, but is specially designed for the younger hands.",MISSING
Plastoy Tubo Mythology Tube,Product Description They will have many hours of fun and role play and with these beautifully crafted and painted figures. Perfect for use with toy castles or fantasy role play games.,Plastoy
Plastoy 68171 Warrior with Spear Figure,Product Description Wonderfully detailed toy figures of these classic characters.,Plastoy
Anime Cartoon Despicable Me 2 Figures 3D Eye Minions PVC Action Figure Toys Dolls 10pcs/set,"High quality and best gifts for Kids or friends. Suitable for Play, Hobby Collection and home Display. A safe and lovely toy",GoodsforU
DC Direct Batman: Arkham City Series 2: Jervis Tetch - The Mad Hatter Action Figure,"Based on the blockbuster video game published by Warner Bros. Interactive Entertainment, developed by Rocksteady Studios, and licensed by DC Entertainment-Exquisite detail captures characters as they appear in the hit game-Great for gamers, Bat-fans, and DC Direct collectors-Character-appropriate accessories-The Mad Hatter measures 4.25"" tall",The Adventures of Batman & Robin
Galt Toys Nail Designer Set,"Product Description An exciting collection of seven colours to varnish your nails and two nail pens to create amazing designs. Decorate with nail stickers, glitter varnish and gems. Ideal for parties or sleepovers. Box Contains 8 x nail varnishes (7 colours and 1 glitter); 2 x nail pens, nail stickers, nail gems, tattoo transfers; 2 x foam toe dividers, nail file and guide.",Galt Toys
Make Your Own Crystal Tattoos Body And Jewellery Set Toy,"Make Your Own Crystal Tattoos Body And Jewellery Set Toy Great creative set for girls age 8 years + Set contains; Assorted crystal tattoos, body jewellery, crystal beads, gel string and a work station. Excellent gift. Make your body sparkle!",Grafix
Alex Toys My Crafty Kit,"Product Description Take-along case packed with craft materials and projects specially designed for little handIncludes everything you will need plus easy to follow instructions. Suitcase measures 20.3cm x 29.8cm x 8.8cm. Box Contains Includes tissue art, crayons, safety scissors, glue, stickers, paper, pom-poms, tons of craft and collage materials and easy instructions.",Alex
Bigjigs Toys Fairy Bead Box,"Colour Name:Fairy This wooden jewellery kit includes lightweight, brightly coloured wooden beads and several cords, so your little one can design the perfect accessory for every occasion. Create necklaces, bracelets or even unusual playroom decorations - the possibilities are endless! Supplied in a wooden storage tray with a clear sliding lid. Includes approx. 168 wooden beads and 5 cords. Bigjigs Toys use only child friendly paints, stains and lacquers on all of our products. Made from high quality, responsibly sourced materials. Conforms to current European safety standards. Age 3+ years. Height: 40mm, Width: 220mm, Depth: 220mm.Founded in June 1985, Bigjigs Toys is a family operated business which has never lost sight of its roots. Our mission is to deliver quality, safe and affordable products, which are responsibly sourced and complement childhood through fun, exploration and learning. We believe that the best toys are powered by creativity and imaginative play and strive to produce toys that are cherished and enjoyed for years to come.",Bigjigs Toys
Make A Princess Mirror - Girl Girls Child Children Kids - Arts & Crafts Activity Set - Latest Birthday Gift Present Fun Games & Toys Idea Age 5+,"Make a beautiful plaster princess mirror for your room, mould it using the rubber mould and quick drying plaster provided. Then paint it with the paint strip provided and sprinkle on glitter for a special sparkly touch. This is a great rainy day activity for kids, or an excellent project to work with your children on for some real family time with a very practical and personal result. Suitable for children aged five and over. 4M specialise in quality arts and crafts kits, that encourage children to explore and enjoy traditional skills, whilst being creative and using their imaginations to have fun.",4M Crafty Kids
NPW Whatever Banner Kit with 100 Multicoloured Letters,"Product Description NPW Whatever Banner Kit is best for any occasion, spell out the message on a personalised banner with these re-usable letters. Contains 70 multicoloured letters, 18 numbers, 12 symbols, clips and hanging strings. Box Contains 70x Multicolored Letter18x Number12x Symbol1x Clip1x Hanging String",NPW
Trimits PP1W | White Pom Poms | Toy Making | 7mm | 100 pack,Pom Poms 7mm White 100Pcs,Ark
Alex Toys Early Learning My First Scrapbook Little Hands,"Product Description A pre-schooler's first scrapbook! Save images and memories of school, family, best friends, holidays and more- all with a creative touch! Includes a 10"" x 10"" in/25.4cm x 25.4cm spiral bound book. Each page is themed and contains coordinated stickers and punch outs bound into the book right where they are needed. Kit contains 425 stickers and shapes, chunky glue stick (1.4 oz / 40g), 8 finger crayons, safety squeeze scissors and easy instructions. Box Contains Includes a 25.4cm x 25.4cm spiral bound book. Kit contains 425 stickers and shapes, chunky glue stick (1.4 oz / 40g), 8 finger crayons, safety squeeze scissors and easy instructions.",Alex
Le Toy Van Grey Horse with Saddle,"Product Description Take the reins with the Grey Horse with Saddle from Le Toy Van, a painted wooden horse figurine with a fabric mane and tail. Finished in shades of grey with a dapple design, it includes a saddle with stirrups, reins and a rosette.The Grey Horse with Saddle is perfectly scaled for the separately sold range of Budkins figures and play sets.All Le Toy Van painted wooden toys are designed in the UK and ethically manufactured in Indonesia using responsibly sourced materials. Fully safety tested for ages 3 and up. Box Contains 1 x Brown Horse with saddle",Le Toy Van
Gel Art Hearts Window Decorations - Medium sized pack of 3D Printed Gels that stick to windows & mirrors etc,Stick to Windows/Tiles/Mirrors etc Brightly coloured see through 3D stickers Brighten up any bedroom Funky designs Pack size-20 x 20cm,Indigo Worldwide Ltd
"INTEX Inflatable Swimming Paddling Play Pool 3 Ring Blue Toy Kids Childs Childrens Baby Family Sizes - 45'' , 58'' , 66'' Diameter (58'' x 13'')","Colour Name:58'' x 13'' INTEX 3 Ring Paddling Pool This great 3 Ring Inflatable Blue Paddling Pool will keep the kids entertained for hours and is ideal for any garden. Once inflated, depending on the size pool you choose, the pool can hold between 35 and 127 gallons of water. The paddling pool also comes with a repair patch if required. Recommended for ages 3+. 3 sizes available:45"" x 10"" /114cm x 25cm/, holds 35 gallons (132 litres); 58"" x 13"" /147cm x 33cm/, holds 76 gallons (288 litres); 66"" x 16"" /168cm x 41cm/, holds 127 gallons (481 litres); -Ideal for use by children ages 3+ -Pool is supplied with a repair patch",Intex
Intex Joy Riders Surf Beach Toy - Assorted Colours - Single,Product Description Product size 112cm x 62cm (44" x 24Ω"). Made from .25mm (10ga) vinyl). Comes with a repair patch Box Contains 2 x InflatableRepair Patch,Intex
Toyrific Hydro Pump Action Water Gun,"Product Description Kids will love getting their friends soaked in minutes with the 36cm Disruptor Pump Action Water Gun by Toyrific, perfect for some energy burning fun in the garden this summer! Simply fill with water, pump to build pressure and unleash the cold water fury on their opposition! Kids can even make the fun go further by setting up targets; first one to knock them all down wins! Warning: Choking hazard! Not suitable for children under the age of 36 months due to small parts! Do not aim at face or eyes. Do not leave pressurised when not in use. Always fill with clean tap water. Please Note: This product comes in an assortment of colours and/or styles which may vary. See our Terms & Conditions (section. 9.0) for more details. Box Contains 1 x Water Gun",Toyrific
UPF 50 UV Sun Protection Roof Childs Inflatable Dinghy Float Boat Raft Pool Toy,UV Careful Childs Pool Float UPF 50 + Protect your child from the sun with this UV careful pool float! Let your child cruise the pool in style this summer and be protected from the harmful sun. Size: 40" x 38" Suitable for children ages 3 years +,MTS
Youth / Junior Floatation Swim Jacket / swim aid - Blue/Navy - 10-12 yrs,"Size Name:10-12 years †|† Colour Name:Blue/Navy A teenage/junior swimming jacket makes it possible to achieve a far better swimming position than alternative swimming aids making learning easier. It's also a more credible alternative for the older user and provides a greater sense of security and comfort. The adjustable crotch strap ensures a snug fit and can be removed if preferred. Made from soft neoprene with lycra binding they are comfortable to wear. The jackets are available in Blue/Navy or Pink/Lilac, 8-10 yrs, 10-12yrs or 12-14 yrs.",Konfi-store
Childs Inflatable Dinghy Float Boat Kids Childrens Swimming Pool Beach Toy,"The Inflatable Sea Life boat is a fun swimming pool float for children that are getting used to the water. Let your child cruise the pool in style this summer. Comfortable inflatable bottom. Size: 44""x27.5"" /112cm x 70 cm/. Grip rope with 1 welded grommet. Colour: blue or green, randomly sent. Recommended age 3 years +.",MTS
Logitoys ZW-FB1 Wazooka Toy,Water gun Wazooka 5 in 1,Logitoys
TOY STORY ROCKET SWIM RING (28" x 22"),"Package Quantity:1 These great Intex Disney Toy Story Inflatable Rocket Swim Ring for taking to the beach or to the swimming pool. Measures 28"" x 22"" (71 x 56cm).These Disney Toy Story Rocket shaped swimming rings are perfect for taking to the beach and to the pool.Easy, convenient inflation & deflation for storage.Repair patch included. Perfect for riding the ripples in the water and playing around in the pool.Kids will have a fantastic time playing and floating on these rings in the swimming pool and at the beach! Manufacturers age recommendation: 3 -6 years.",Intex
"INTEX Inflatable Swimming Paddling Play Pool 3 Ring Blue Toy Kids Childs Childrens Baby Family Sizes - 45'' , 58'' , 66'' Diameter (58'' x 13'')","Colour Name:58'' x 13'' INTEX 3 Ring Paddling Pool This great 3 Ring Inflatable Blue Paddling Pool will keep the kids entertained for hours and is ideal for any garden. Once inflated, depending on the size pool you choose, the pool can hold between 35 and 127 gallons of water. The paddling pool also comes with a repair patch if required. Recommended for ages 3+. 3 sizes available:45"" x 10"" /114cm x 25cm/, holds 35 gallons (132 litres); 58"" x 13"" /147cm x 33cm/, holds 76 gallons (288 litres); 66"" x 16"" /168cm x 41cm/, holds 127 gallons (481 litres); -Ideal for use by children ages 3+ -Pool is supplied with a repair patch",Intex
INTEX UNDERWATER SWIMMING POOL DIVE WEIGHTED PLAY STICKS BALLS WATER TOYS GAMES,"IntexÆ Underwater Swimming Pool Dive Colourful weighted Play Sticks or Balls Water Toys Swim into summer fun with the INTEXÆ Underwater Play Balls Features and Benefits: Fun balls: - Soft, neoprene material - Pack of 3 - Floating streamers allow for easy retrieval - 3 bright colors - Each ball is 18.5cm long for ages 6+ years",Guaranteed4Less
"Kids Children Inflatable Swimming Vest Floating Jacket for kids Learning Swimming - Pink, Yellow, Blue","Safe in the pool, beach and any other water activity under supervision. Email us your choice or else we will send randomly.",Grids
Big Toys Container Port Water Play Set,"This engaging set has lots of action going on, from the harbour basin and large cargo boat coming into port, loading on and off at the dock to the dock security with the Police boat and figure. Included is a large crane, 2 containers, two play areas, police station, harbour basin, 2 boats and 3 play figures",BIG Toys
"Konfidence Children's Original Swim Jacket - Nautical Wave, Small/2 - 3 Years","Size Name:Small/2 - 3 Years †|† Colour Name:Nautical Wave Product Description The original konfidenceô jacket is the must have for any trip to the pool or beach. the built in buoyancy gives a boost to the wearerís natural buoyancy allowing the unrestricted development of swimming technique or just having fun. the konfidenceô jacket has 8 removable foam floats. these allow the buoyancy to be tailored to the wearerís needs and ability. neoprene is used for the shell as its super soft, stretchy and flexible properties make it really comfortable to wear and looks terrific too. another added bonus is the 100% sun protection it gives to the wearer. originally designed with our own kids in mind for when we went to the local pool or went on holiday near water. the confidence it gives to parents and kids alike is easy to see when itís being used, and the konfidenceô jacket has unsurprisingly become standard issue with a number of international holiday companies. the jacket incorporates a number of design features making it the best on the market: - the use of top quality neoprene (wetsuit materials) giving the jacket its distinctive softness and stretch-ability ensuring a nice snug fit and maximum comfort for the wearer. - soft lycra for the jacket binding to eliminate potential chaffing around the arms after long periods of use. - a high quality chunky, self-locking ykk brand zip is standard on the jacket along with a velcro zip retainer to discourage little fingers playing with the zip pull. - 100% uv protection plus extended shoulders and raised neckline to maximise protective cover. - all konfidenceô jackets come with a high visibility bright yellow back for maximum safety in crowded pools or beaches. - a customer care line number and multi-lingual instructions for use in 23 languages come with each jacket. the jackets are also ce marked and comply with the most recent european safety certification en131138-1:2008 relating to buoyant aids for swimming. System Requirements Year-round 2014 See all Product Description",Konfidence
"Swim Sportz Blade Blaster - Pump Action Water Gun, Swimming Pool Toy",The ultimate water shooter which is 2 toys in 1. For use with water or without simply pull back the easy to use handle in water or air and push it forward to shoot a large blast of water or a high flying dart. Never a dull moment with the Blade Blaster. Please Note: Colours Vary,Swimming and Pool Games
Disney Toy Story 24" (61cm) Inflatable Swim ring,"Package Quantity:1 These great Intex Disney Toy Story Inflatable Swim Ring for taking to the beach or to the swimming pool. Measures 24"" (61cm).These Disney Toy Story swimming rings are perfect for taking to the beach and to the pool.Easy, convenient inflation & deflation for storage.Repair patch included. Perfect for riding the ripples in the water and playing around in the pool.Kids will have a fantastic time playing and floating on these rings in the swimming pool and at the beach! Manufacturers age recommendation: 6 - 10 years.",Intex
Konfidence Youth Swim Jacket - Blue/Navy - 10-12 yrs,"Size Name:10-12 years †|† Colour Name:Blue/Navy Due to popular demand we make the Konfidence Jacket in teenage sizes. The jacket makes it possible to achieve a far better swimming position than alternative swimming aids making learning easier. It's also a more credible alternative for the older user and provides a greater sense of security and comfort. The adjustable crotch strap ensures a snug fit and can be removed if preferred. The jackets are available in Blue/Navy or Pink/Lilac, 8-1o yrs, 10-12yrs or 12-14 yrs. There are also the Konfidence Adult Swim Jackets also available according to chest size.",Konfidence
"Eliminator XT Water Blaster, Swimming Pool and Garden Toy, Water Gun","Eliminator XT Pump Swim Sportz Action Water Blaster, Garden and Swimming Pool Toy (game). The Eliminator XT Pump Action water blaster is disguised as a swimming pool noodle. The Eliminator Water Action Blaster shoots wtaer up to 10 meters (30ft). Take water blasting to a new level with the new Eliminator XT. Much larger than the Mini and Pocket models and including a Power Grip handle, the XT gives performance and power to shoot a blast of water across your pool or garden. Let the battle commence. Rule the pool this summer with the Eliminator XT! Colours may vary and will be selected at random unless otherwise requested.",Swimming and Pool Games
Big Mouth Toys Inflatable This Beach Bites Pool Float,"Product Description GET OUT OF THE WATER - GET OUT OF THE WATER!! It looks like JAWS is in the water again. This extra large 6 foot tall inflatable surf board shaped pool float, has a huge shark bite chunk missing. Extra large, extra durable - and extra hilarious! Box Contains 1 x Beach Bites Pool Float",Big Mouth Toys
SwimWays Original Toypedo Diving Pool Toy - Colors and Styles May Vary by Swim Ways [Toy],The one and only award-winning SwimWays Toypedo Original dive toy rockets through the pool with amazing hydrodynamic action! Glides underwater up to 30 feet. Available in a variety of brightly-colored styles kids of all ages will love to collect. Suitable for Ages: 5+ NOTE: Price is for one Toypedo Original Pool Toy only.,Swimways
Dantoy 84cm Bob Sledge with Brake,Product Description Dantoy Bob Sledge with Brake and pull rope. It is made of high quality safe plastic and ensure a consistency of quality as well as colour. The Dantoy Sledge is durable and have outstanding play value. It holds up to 50 kg and has cold resistance up to -20 degree C. All Dantoy products are produced without use of PVC and do not contain phthalates. Sledge plate measures 84 cm length. Box Contains 1x Bob Sledge,Dantoy
Water Kids Child's Swimming Jacket 18-30Kg 3-6 Years (Blue/Black) - 8 Removable Floats,"Brand New In Wrapper Child's Swim Jacket. This Swim jacket is the perfect Swim Trainer - lightweight, comfortable and constructed using premium hypoallergenic materials, which has made them a favourite amongst conscientious parents and children who love the bright colour. The swim trainer is for young children between the ages of 3 & 6 who weigh between 18 and 30 kg's. Designed to help promote confidence whilst learning to swim and make water play safer, easier and more fun. The jacket is worn over your child's normal bathing costume, zip it up and it fits securely whilst allowing complete freedom of movement, so your child is comfortable and able to practice with complete confidence knowing the jacket will help support them. Designed for swimming/leisure pools. 8 removable soft foam floats offer adjustable buoyancy. Not a life vest - not for sailing - please read instructions before use",BabyMad
SUPER SOAKER PUMP ACTION WATER GUN PISTOL WATER GUN GARDEN FUN BLAST TOY,PUMP ACTION WATER PISTOL BE THE LAST MAN STANDING GET THE EDGE WITH THIS SUPER SOAKER WATER PISTOL WITH BACKPACK WATER TANK Colours may vary,ALLKINDATHINGS
New Inflatable Blow Up Hippo Swimming Pool Float Fun Kids Beach Toy Ride On Lilo Shopmonk,"Please If anything goes wrong, before you leave feedback CONTACT US and we will always solve your problem very quickly, NO NEED TO LEAVE A NEGATIVE FEEDBACK",zizzi
The Ultimate Water Fight Package - Garden and Water Toys and Water Blasters - 2 Person Set - Contains Blade Water Blasters and Water Bomb Slingshots,"Sling it. Splash it. A sling shot for the pool or any outdoor water venue. The Sling and Splash provides radical splashing fun. For long distance surprise attacks and major splashes, nothing can beat the Sling 'n' Splash for hours of family fun. Not just for the kids the whole family can have fun slinging launching and splashing these Splash Balls and would be great for pool parties. Comes with a launcher and 4 soft splash bombs. Suitable for ages 5+ The ultimate water shooter which is 2 toys in 1. For use with water or without simply pull back the easy to use handle in water or air and push it forward to shoot a large blast of water or a high flying dart. Never a dull moment with the Blade Blaster. Please Note: Colours Vary",Game
Konfidence Youth Swim Jacket - Blue/Navy - 10-12 yrs,"Size Name:10-12 years †|† Colour Name:Blue/Navy Due to popular demand we make the Konfidence Jacket in teenage sizes. The jacket makes it possible to achieve a far better swimming position than alternative swimming aids making learning easier. It's also a more credible alternative for the older user and provides a greater sense of security and comfort. The adjustable crotch strap ensures a snug fit and can be removed if preferred. The jackets are available in Blue/Navy or Pink/Lilac, 8-1o yrs, 10-12yrs or 12-14 yrs. There are also the Konfidence Adult Swim Jackets also available according to chest size.",Konfidence
Water Pistol - Gun / Splash / Water Fights / Fun - Girls / Girl / Boy / Boys / Child / Children / Kid Best / Popular/ Top Selling Stocking Filler Ideas Toys / Games,,Great Gifts
Toy Story Arm Floats - Disneys Toy Story Arm Floats,"Disney Pixar Toy Story Arm Floats Featuring: Woody & Buzz Lightyear Ages 3+ Inflatable Arm Floats Warning: Aquatic Toy, use only under supervision. This is not a lifesaving device. DO NOT leave child unattended whil in use. Only to be used in water which the child is within it's depth and under adult supervision.",Disney
Rabbids Invasion Super Plunger Blaster Toy Gun,*Bwaaah Mode: Press trigger for random sound effects *Fart Mode: Press trigger for kooky fart sounds! Includes four bonus fart sounds! *Squeeze trigger quickly three times and hold to go back & forth between Bwaaah and Fart Modes *Place the Plunger Sound Blaster in a hidden location and the mayhem will begin and have fun with Rabbids "Prank Mode" *Brand new,Nickelodeon
Intex Disney Toy Story Deluxe Pool Inflatable Garden Paddling Pool 191x178x61cm,"This fantastic Disney Toy Story Deluxe Pool from Intex is great for back garden fun on those hot summers days! The Swimming Pool has a water capacity of 541 Litres and has been colourfully decorated in the characters from the Disney film Toy Story. This kid friendly pool measures 75"" (191cm) by 70"" (178cm) by 24"" (61cm). The Intex Swimming Pools are easy to set up. You simply lay the paddling pool down on a flat surface, inflate and then fill the pool with water. The base of the pool has a soft inflatable floor for comfort. Kids will have great fun splashing around with Woody, Jessie and Buzz Lightyear! Manufacturers recommended age: 6 + years.",Intex
"SwimWays Dive Dudes, Swimming Pool Game (Toy), 4 Dive Sticks",Dive Dudes are the newest twist on traditional swimming dive sticks. These colourful and fun dive sticks pool diving game will keep kids entertained for hours in the swimming pool. Underwater dive games are a great way for children to build water confidence and improve underwater skills and swimming. These dive sticks sink to the bottom of the pool in a cool spinning action for kids to dive and collect. Dive Dudes feature four new "cool for the pool" characters that are brightly colored and the numbered point values enhance game play. These dive sticks are made of soft molded construction and special engineering cause the pool dive toys to lie on the bottom of the pool. The dive sticks sink to the bottom of the pool in a cool spinning action. Dive Dudes are recommended for kids over 6 years.,Swimways
Large Green Super Muscle Shirt Costume for Superhero Fancy Dress Up Outfits,Adult Man Size: Large (UK 42-44) The Green Super Muscle Shirt mens costume Includes green muscle shirt only Small UK 38-40; Eur 48-50; Chest 96-101cm; Waist 81-86cm Medium UK 40-42; Eur 50-52; Chest 101-106cm; Waist 86-91cm Large UK 42-44; Eur 52-54; Chest 106-111cm; Waist 91-96cm X-Large UK 46; Eur 56; Chest 116cm; Waist 101cm Keep away from fire Sponge clean only,WIDMANN
Blue Childrens Kids Knights Warriors Soft Foam Sword & Shield Role Play Dress Up Toy,Features: ïSafe sword and shield toy set ïMade from soft EVA foam ïVelcro wrist strap on shield ïBlue and red designs available ï57.5cm tall,Tobar
PIRATE & PRINCESS CHILDRENS TEMPORARY TATTOOS x 60 Party Bag Filler Kids Toy,Pack of 60 pirate and princess temporary fake tattoo's. Contains 30 pirate and 30 princess tattoo's which will be supplied at random from 12 different images. Perfect for birthday parties etc.,Henbrandt
Galt Toys Party Kit,"Everything you need for a party. Apply tattoos, paint nails and decorate with stickers.",Galt Toys
BRUSHWOOD TOY FARM BT2030 SCALEXTRIC BULK SILAGE,"Bulk Silage, essential for that growing livestock herd and for making some real work in the pit. Supplied in 450gram bag with re-sealable top. Contents coloured sawdust. Figures and farm machinery not included.",Brushwood
Le Toy Van Car Playmat,"Product Description Take to the road with the Car Playmat from Le Toy Van; a large 1 metre x 1.5 metre non-slip car themed playmat. It features an image of an entire town with incredible detail including; numerous shops, a construction site, a train station, a school, a hospital and a train station amongst numerous other features. Highly detailed and made from polyester with a latex backing, it can be easily rolled up for convenient storage. The Car Playmat is perfectly scaled for many popular toy vehicles and playsets including Le Toy Van's own separately available vehicle and garage range.The product is securely rolled and packed in shrink wrap. All Le Toy Van playmats are designed in the UK and manufactured in China. Fully safety tested for ages 3 and up. Manufacturer's Description A giant 1 metre x 1.5 metre car road play-mat . Designed in the UK by Le Toy Van.The most detailed playmat you can find anywhere. This unique artwork presents children with so much to discover as they 'drive' around the roads.Scaled for Le Toy Van wooden car sets ( Cars sold separately). A non-slip backing (suitable on wood, carpet or laminate). Ideal for home use and for educational groups.A perfect play mat that doubles up as useful soft furnishing . See all Product Description",Le Toy Van
Teamsterz Transporter Toy (Large),"Product Description Huge, free-wheeling car transporter with 12 detailed die-cast cars and lots of barrier and traffic cone accessories. Transporter features detailed cab and space for up to 40 cars. With carry handle so you can pack up and take with you wherever you go! Suitable for ages 3+. Box Contains 1 x transporter; 12 x cars",HTI
Hot Wheels Toy - Track Builder Workshop - Digital Speedometer,"Product Description The Hot Wheels track builder system offers the optimum track experience for boys by allowing them to design, create and customise their very own track challenges. Using a variety of stunts, layouts and essential pieces that work together or connect to existing sets, boys can be the master of their own track. This Digital Speedometer answers boys big need for speed. As you go racing by, it measures your car's Hot Wheels Speed?. Test out how fast you're going, try to improve your velocity or race a friend. Ages four and older. Box Contains 1 x Track builder digital speedometer accessory",Hot Wheels
Flying Gadgets Remote Control Mini Tank Toy (Grey),"Product Description Flying Gadgets (RC) Remote Control Mini Tank (Toy), For Adults & Children in Grey. This compact design is the newest Remote controlled toy from Flying Gadgets. It is controlled by remote controlled and for ease of use the Tank can also be charged via the transmitter. Combined with real life like tank tracks the tank will operate on any surface including sand, soil and concrete. The robust tracks mean you can travel quickly over rough ground - inside or out! This will provide hours of fun compared to a standard remote controlled toy. For even more functionality the Fort (Gun) can be rotated 360 degrees in one direction. Great when battling against other tanks. Box Contains x1 Mini Tank x1 Trasmitter x1 User Manual",Flying Gadgets
TOBOT W Korea Animation Transformer Flying W Robot Toy Car,Tobot Korea Animation Transformer Flying W Robot Toy Car,Tobot
Dazzling Toys 2" Pull Back Racer Cars - 12 Pack- (D019),"This is a great gift or party favor for kids, especially for boys who seem to be car-minded. It is exciting and fun to pull back and watch it zooming across the room. Can also be a cute decoration to your vehicle or car themed party. (Traffic Light sold separately.)",dazzling toys
Dickie Toys Fire Brigade,"Product Description International Fire Brigade Try Me, 62 Cm Box Contains Manual Water Pump",Dickie Toys
Disney Cars Off Road Racin' Lightning McQueen Toy,"Product Description Disney Pixar's Cars films thrill kids with amazing racing action and adventure. Racing star Lightning McQueen is challenged by four characters to brave off-road terrain. Will he survive the crazy course that includes prickly cactus patches, gruesome graveyards, scary forests and Tailpipe Cavern? This new version of Lightning McQueen comes alive with wicked, off-road styling. He is large scale for wilder adventures. There's no course too tough to tackle - nothing is off limits. Blazing through tough terrain is a snap when you have side-to-side steering - just press on the left or right of the vehicle to go where you want. When you press down on the rear of the car, you'll hear his feisty engine revving sounds. Activate more iconic sounds and phrases by pushing a button on the roof. Kids will have a blast recreating scenes from the film with this realistic off road action vehicle. Ages 3 and older. Box Contains Cars Off-Road Racin' Lightning McQueen",Disney
Spare Part WLtoys V911 2.4GHz RC Helicopter Connect Buckle Ball Link Set V911-04,Features: V911-04 Connect Buckle for WL V911 4CH RC Helicopter PACKAGE INCLUDES: 1 SET of V911-04 Connect Buckle,FamilyMall
Coocheer JJRC H18 Mini Drone Nano Hexacopter Toy 360 Degree Flips RC Quadcopter with Transmitter 2.4Ghz 4CH 6-Axis Black,"Information: >> 100% Brand New with original box. >> Item: JJRC H18 Mini Drone >> Color: Black and Green >> Features: 6-Axis Gyro System, 2.4GHz, 4 CH, Transmitter, 360 Degree Flips >> Drone Size: 7.3x8.5cm/2.85x3.32inch >> Transmitter Size: 11x7x4cm/4.29x2.73x1.56inch >> Control Distance: About 20m >> Transmitter Power Supply: 2 x AAA Battery (Not Included) >> Drone Battery: 3.7V 180MAH Lithium Battery (Built-in) >> Flight Time: 5-6mins >> Charging time: About 40mins (USB charging) >> Recommended Age: Above 13-Year-Old Package Content: ** 1x Mini Drone ** 1x Remote Controller ** 4 x Replacement Blade ** 1 x USB Charging Cable ** 1 x English/Chinese User Manual Note: Due to the difference between different monitors, the picture may not reflect the actual color of the item. We guarantee the style is the same as shown in the pictures. Thank you!",COOCHEER
Electric Tail Motor Mount Spare Part For WLtoys V911 RC Helicopter Heli,"Description: 100% brand new and high quality Easy to install Great spare part for your helicopter Specifications: Material: Wire and stainless steel Color: As the picture shows Power: DC 3.7v Size: 0.79*0.24*0.24inch/2*0.6*0.6cm Wire Length: Approx. 7.87inch/20cm Package Included: 1x Tail Motor Note: 1.Please allow a little size error due to manual measurement. 2.Please be reminded that due to lighting effects and monitor's brightness/contrast settings etc, the color tone of the website's photo and the actual item could be slightly different.",Pinzhi
Hubsan Original NANO Q4 H111 World's Smallest 1.8" Mini 2.4GHz 4CH Mode 2 50m Remote Control Gyro 360 Degree Flip LED Light RC Quadcopter Ready to Fly Toy RTF Drone - Black Best Gift for Valentine Birthday Christmas Thanksgiving,This Hubsan Original NANO Q4 H111 World's Smallest 1.8" Mini 2.4GHz 4CH Mode 2 50m Remote Control Gyro 360 Degree Flip LED Light RC Quadcopter Ready to Fly Toy RTF Drone - Black Best Gift for Christmas Birthday Thanksgiving is stylish ultra small and easy to fly. It will be a perfect birthday or Christmas gift for your children.,Hubsan
